January,February,March,April,May,June,July,August,September,October,November,December
2.909999847,1.809999943,0.409999996,1.019999981,0.550000012,0.919999957,0.429999977,0.48999998,2.029999971,1.839999914,1.480000019,2.069999933
2.799999952,1.860000014,0.419999987,0.959999979,0.519999981,0.98999995,0.419999987,0.550000012,1.9799999,1.809999943,1.389999986,2.069999933
2.690000057,1.909999967,0.429999977,0.909999967,0.48999998,1.039999962,0.409999996,0.639999986,1.959999919,1.870000005,1.309999943,2.089999914
2.589999914,1.949999928,0.449999988,0.879999995,0.469999999,1.059999943,0.409999996,0.75999999,1.959999919,1.99000001,1.25,2.109999895
2.480000019,1.9799999,0.469999999,0.879999995,0.48999998,1.069999933,0.429999977,0.889999986,2.00999999,2.139999866,1.179999948,2.139999866
2.409999847,1.949999928,0.529999971,0.889999986,0.5,1.079999924,0.449999988,0.930000007,2.079999924,2.24000001,1.129999995,2.169999838
2.349999905,1.870000005,0.620000005,0.909999967,0.5,1.079999924,0.479999989,0.930000007,2.149999857,2.319999933,1.090000033,2.190000057
2.279999971,1.779999971,0.74000001,0.939999998,0.469999999,1.069999933,0.50999999,0.909999967,2.210000038,2.379999876,1.059999943,2.220000029
2.210000038,1.659999967,0.789999962,0.98999995,0.459999979,1.059999943,0.529999971,0.939999998,2.220000029,2.409999847,1.069999933,2.24000001
2.129999876,1.539999962,0.810000002,1.039999962,0.469999999,1.039999962,0.560000002,0.98999995,2.210000038,2.429999828,1.110000014,2.25999999
2.039999962,1.419999957,0.799999952,1.090000033,0.479999989,1.029999971,0.569999993,1.049999952,2.190000057,2.429999828,1.189999938,2.279999971
1.919999957,1.329999924,0.799999952,1.159999967,0.469999999,1.029999971,0.599999964,1.059999943,2.149999857,2.339999914,1.230000019,2.269999981
1.789999962,1.25999999,0.810000002,1.370000005,0.449999988,1.029999971,0.620000005,1.029999971,2.109999895,2.210000038,1.25,2.25999999
1.649999976,1.209999919,0.819999993,1.959999919,0.429999977,1.059999943,0.589999974,0.98999995,2.079999924,2.039999962,1.269999981,2.24000001
1.629999995,1.129999995,0.839999974,2.460000038,0.389999986,1.090000033,0.539999962,0.979999959,2.00999999,1.919999957,1.289999962,2.200000048
1.529999971,1.059999943,0.870000005,2.879999876,0.359999985,1.129999995,0.5,0.930000007,1.959999919,1.819999933,1.319999933,2.169999838
1.409999967,1.00999999,0.899999976,3.199999809,0.329999983,1.149999976,0.459999979,0.870000005,1.909999967,1.719999909,1.360000014,2.149999857
1.329999924,1.049999952,0.919999957,3.179999828,0.299999982,1.169999957,0.429999977,0.799999952,1.870000005,1.579999924,1.459999919,2.129999876
1.279999971,1.139999986,0.930000007,2.960000038,0.280000001,1.169999957,0.409999996,0.74000001,1.829999924,1.439999938,1.599999905,2.109999895
1.24000001,1.279999971,0.939999998,2.659999847,0.25,1.159999967,0.419999987,0.689999998,1.799999952,1.299999952,1.769999981,2.099999905
1.209999919,1.399999976,0.949999988,2.440000057,0.229999989,1.129999995,0.439999998,0.639999986,1.75999999,1.189999938,1.919999957,2.099999905
1.199999928,1.49000001,0.959999979,2.269999981,0.209999993,1.100000024,0.449999988,0.589999974,1.730000019,1.110000014,2.039999962,2.119999886
1.209999919,1.549999952,0.969999969,2.139999866,0.189999998,1.059999943,0.459999979,0.539999962,1.699999928,1.069999933,2.119999886,2.139999866
1.189999938,1.629999995,0.98999995,2.049999952,0.179999992,1.019999981,0.459999979,0.48999998,1.669999957,1.059999943,2.190000057,2.159999847
1.159999967,1.719999909,1.029999971,1.959999919,0.170000002,0.979999959,0.479999989,0.449999988,1.639999986,1.079999924,2.25,2.159999847
1.120000005,1.819999933,1.059999943,1.899999976,0.159999996,0.949999988,0.48999998,0.399999976,1.610000014,1.100000024,2.319999933,2.180000067
1.090000033,1.939999938,1.129999995,1.860000014,0.159999996,0.909999967,0.50999999,0.359999985,1.579999924,1.110000014,2.409999847,2.210000038
1.049999952,2.059999943,1.220000029,1.829999924,0.159999996,0.889999986,0.479999989,0.319999993,1.549999952,1.110000014,2.519999981,2.24000001
1.019999981,2.180000067,1.319999933,1.809999943,0.159999996,0.859999955,0.449999988,0.289999992,1.50999999,1.120000005,2.649999857,2.25999999
0.939999998,2.079999924,1.429999948,1.819999933,0.159999996,0.839999974,0.429999977,0.269999981,1.49000001,1.139999986,2.75,2.220000029
0.849999964,1.899999976,1.549999952,1.870000005,0.170000002,0.829999983,0.399999976,0.25,1.459999919,1.169999957,2.829999924,2.149999857
0.74000001,1.709999919,1.679999948,1.929999948,0.199999988,0.819999993,0.370000005,0.239999995,1.449999928,1.209999919,2.899999857,2.059999943
0.729999959,1.599999905,1.789999962,1.9799999,0.219999999,0.810000002,0.340000004,0.229999989,1.429999948,1.209999919,2.980000019,2.019999981
0.779999971,1.529999971,1.879999995,2.019999981,0.25,0.799999952,0.329999983,0.209999993,1.429999948,1.199999928,3.069999933,2.00999999
0.859999955,1.49000001,1.969999909,2.049999952,0.289999992,0.799999952,0.319999993,0.199999988,1.419999957,1.189999938,3.179999828,2.019999981
1,1.360000014,2.059999943,2.079999924,0.319999993,0.799999952,0.310000002,0.189999998,1.419999957,1.149999976,3.279999971,2
1.199999928,1.199999928,2.139999866,2.099999905,0.370000005,0.799999952,0.299999982,0.189999998,1.429999948,1.110000014,3.329999924,1.969999909
1.439999938,1.049999952,2.230000019,2.109999895,0.409999996,0.799999952,0.299999982,0.189999998,1.439999938,1.069999933,3.329999924,1.939999938
1.649999976,1.00999999,2.329999924,2.119999886,0.5,0.799999952,0.299999982,0.25,1.459999919,1.029999971,3.019999981,1.959999919
1.9799999,1,2.440000057,2.139999866,0.579999983,0.799999952,0.299999982,0.319999993,1.480000019,0.959999979,2.809999943,2.099999905
2.369999886,1,2.559999943,2.159999847,0.669999957,0.799999952,0.299999982,0.379999995,1.49000001,0.859999955,2.639999866,2.169999838
2.409999847,1.00999999,2.690000057,2.190000057,0.75999999,0.810000002,0.299999982,0.409999996,1.49000001,0.75,2.50999999,2.25999999
2.279999971,1.039999962,2.819999933,2.230000019,0.849999964,0.819999993,0.310000002,0.439999998,1.49000001,0.649999976,2.419999838,2.379999876
2.089999914,1.069999933,2.960000038,2.269999981,0.939999998,0.829999983,0.329999983,0.459999979,1.5,0.560000002,2.379999876,2.50999999
1.909999967,1.069999933,3.089999914,2.269999981,1.029999971,0.839999974,0.359999985,0.439999998,1.519999981,0.50999999,2.409999847,2.599999905
1.74000001,1.059999943,3.210000038,2.24000001,1.120000005,0.839999974,0.379999995,0.419999987,1.589999914,0.50999999,2.519999981,2.639999866
1.599999905,1.039999962,3.339999914,2.200000048,1.209999919,0.849999964,0.389999986,0.399999976,1.689999938,0.539999962,2.649999857,2.649999857
1.5,1.059999943,3.460000038,2.169999838,1.289999962,0.859999955,0.389999986,0.389999986,1.789999962,0.569999993,2.669999838,2.589999914
1.419999957,1.090000033,3.579999924,2.139999866,1.370000005,0.859999955,0.379999995,0.389999986,1.889999986,0.579999983,2.639999866,2.5
1.350000024,1.139999986,3.689999819,2.119999886,1.439999938,0.870000005,0.370000005,0.399999976,1.969999909,0.589999974,2.569999933,2.409999847
1.299999952,1.199999928,3.74000001,2.079999924,1.5,0.870000005,0.349999994,0.409999996,2.099999905,0.620000005,2.5,2.349999905
1.279999971,1.279999971,3.75999999,2.049999952,1.559999943,0.879999995,0.329999983,0.409999996,2.279999971,0.669999957,2.450000048,2.289999962
1.25999999,1.370000005,3.75,2.00999999,1.599999905,0.879999995,0.310000002,0.409999996,2.529999971,0.729999959,2.409999847,2.230000019
1.25999999,1.449999928,3.74000001,1.969999909,1.620000005,0.870000005,0.299999982,0.389999986,2.700000048,0.839999974,2.389999866,2.180000067
1.25999999,1.529999971,3.720000029,1.939999938,1.620000005,0.870000005,0.289999992,0.379999995,2.799999952,0.98999995,2.339999914,2.139999866
1.269999981,1.610000014,3.689999819,1.909999967,1.610000014,0.859999955,0.280000001,0.379999995,2.869999886,1.149999976,2.289999962,2.109999895
1.25999999,1.679999948,3.629999876,1.889999986,1.629999995,0.849999964,0.280000001,0.370000005,2.939999819,1.279999971,2.25,2.069999933
1.24000001,1.74000001,3.559999943,1.870000005,1.659999967,0.829999983,0.280000001,0.349999994,2.980000019,1.409999967,2.220000029,2.029999971
